STT,T1,L1,H1,S1,V1,X1,D1,N1,T2,L2,H2,S2,V2,X2,D2,N2,T3,L3,H3,S3,V3,X3,D3,N3,T4,L4,H4,S4,V4,X4,D4,N4,T5,L5,H5,S5,V5,X5,D5,N5,T6,L6,H6,S6,V6,X6,D6,N6,GT,DT,KV,DH1,DH2,DH3,KT,TBM1,TBM2,TBM3,XL1,XL2,XL3,US_TBM1,US_TBM2,US_TBM3,KQXT
50,8.2,7.2,8.4,5.9,5.9,6.4,6.4,6.2,8.5,6.8,5.0,6.2,6.0,7.2,8.0,7.0,6.7,6.4,6.6,5.5,5.3,6.3,5.7,6.1,6.8,6.7,5.9,5.7,6.4,7.4,7.8,6.4,7.5,7.2,6.6,5.4,6.0,6.4,5.5,5.9,7.6,7.9,8.0,7.5,5.8,6.6,7.7,6.9,F,,2NT,3.25,4.5,4.0,A1,6.824999999999999,6.8375,6.075000000000001,K,K,TB,2.7299999999999995,2.7350000000000003,2.4300000000000006,1
51,5.5,7.1,6.1,5.8,6.2,6.9,7.3,6.1,6.2,6.7,5.7,6.7,6.3,6.6,7.1,5.7,7.3,7.0,6.0,7.7,7.4,7.7,8.7,5.9,7.9,6.8,7.7,9.4,7.8,7.6,8.1,7.1,7.1,6.3,7.4,6.2,6.6,5.3,5.6,5.3,7.7,7.0,6.8,6.3,7.4,8.4,6.8,6.3,F,,1,2.0,5.25,3.5,A,6.375,6.375000000000001,7.212499999999999,TB,TB,K,2.55,2.5500000000000003,2.885,1
52,6.0,5.3,8.5,6.6,7.6,7.5,7.6,4.0,7.3,6.3,8.9,7.8,8.2,8.4,8.8,6.1,7.4,7.1,8.5,8.3,8.1,9.0,7.3,5.0,8.1,6.0,8.8,9.0,7.9,7.8,8.6,5.8,7.7,6.9,7.2,5.8,7.5,8.9,7.5,6.1,6.5,7.3,7.0,6.8,7.5,9.0,7.8,5.9,F,,1,2.5,3.25,5.0,A,6.6375,7.725,7.587499999999999,K,K,K,2.655,3.0900000000000003,3.035,1
53,5.3,7.0,7.0,7.3,6.7,8.4,6.6,7.8,8.0,7.2,6.5,7.0,6.9,8.0,7.9,7.1,6.8,7.9,6.9,7.7,5.8,8.6,6.8,7.2,6.6,7.0,7.3,7.4,6.3,7.8,6.7,6.9,7.4,6.7,6.5,5.9,7.0,6.5,6.9,7.2,5.9,6.9,5.7,5.5,6.9,5.3,7.0,5.9,F,,2NT,3.75,3.5,4.5,D1,7.0125,7.325,7.2125,K,K,K,2.805,2.93,2.885,1
54,4.9,5.9,6.2,5.6,5.9,5.0,7.0,5.6,6.1,7.1,6.4,6.0,6.3,5.5,6.2,6.6,2.5,4.8,5.0,5.0,4.5,2.4,5.8,3.7,6.2,4.1,4.4,5.2,4.1,6.3,4.9,4.6,4.9,5.2,4.9,5.5,5.5,4.6,5.5,5.4,6.5,7.5,6.1,5.6,5.2,5.7,5.6,6.3,M,,1,1.0,5.5,4.25,A,5.7625,6.275000000000001,4.2125,TB,TB,Y,2.305,2.5100000000000007,1.685,1
55,5.3,5.7,5.4,4.6,4.4,6.6,4.7,5.3,5.1,4.9,3.4,5.7,5.4,6.4,7.3,5.5,6.4,3.6,4.0,6.6,5.3,7.0,6.0,4.7,5.6,6.0,3.6,6.4,6.3,6.6,5.1,5.2,6.5,5.4,6.1,4.6,5.7,6.9,6.3,4.9,6.5,5.7,6.0,5.7,7.5,7.8,6.0,6.7,F,,2,4.5,3.75,4.5,D1,5.25,5.4625,5.450000000000001,TB,TB,TB,2.1,2.185,2.1800000000000006,1
56,7.9,6.9,7.0,7.0,7.0,3.9,5.6,6.4,8.4,7.3,6.4,5.8,7.1,6.3,6.4,7.2,8.5,8.1,6.1,5.6,6.1,6.6,6.5,5.9,8.4,7.0,7.0,5.7,6.3,7.0,7.4,6.6,9.5,8.1,7.9,8.1,7.0,4.8,7.7,6.8,9.5,8.4,6.7,7.7,7.3,6.7,6.9,6.5,F,,2NT,4.25,4.75,3.25,A1,6.4625,6.8625,6.675000000000001,TB,K,K,2.585,2.745,2.6700000000000004,1
57,6.3,6.9,6.9,6.9,6.8,6.2,7.6,6.7,7.0,7.7,6.9,8.5,6.2,6.5,6.8,6.3,5.5,6.8,5.7,7.1,6.6,8.6,7.7,5.9,6.3,7.7,6.3,7.4,7.3,8.1,6.5,7.0,8.5,7.1,7.3,6.6,7.2,7.0,6.9,7.1,8.7,7.0,6.6,7.4,7.4,7.0,6.9,6.7,F,,1,6.0,5.5,5.0,A,6.7875000000000005,6.9875,6.737500000000001,K,K,K,2.7150000000000003,2.795,2.6950000000000003,1
58,7.2,7.6,6.6,6.6,5.0,7.1,6.8,9.3,7.3,7.0,8.2,8.2,5.5,6.9,8.1,8.4,7.5,7.8,8.6,6.5,5.5,7.4,7.8,8.7,7.6,7.6,8.8,7.6,4.8,7.0,5.8,8.7,7.8,6.6,8.1,5.9,5.6,5.8,7.3,8.1,6.4,8.9,7.8,6.7,4.2,6.6,6.8,7.9,F,,1,2.0,5.5,5.0,A1,7.025,7.45,7.475,K,K,K,2.81,2.98,2.99,1
59,6.5,5.8,7.4,7.7,7.2,7.5,6.5,4.6,8.3,7.4,6.8,8.2,7.7,7.8,6.8,6.0,8.3,5.7,8.4,8.3,7.3,7.1,6.1,8.0,7.1,5.7,5.7,7.9,7.0,8.6,7.0,8.4,5.8,6.6,6.9,5.9,6.0,7.0,7.2,7.7,7.9,7.8,7.7,7.8,7.0,9.1,8.1,8.5,M,,2NT,2.25,5.25,6.0,A,6.65,7.374999999999999,7.4,K,K,K,2.66,2.95,2.96,1
60,3.6,4.6,5.0,6.9,5.2,4.5,5.8,7.3,3.5,4.1,3.4,7.3,5.5,6.0,5.6,7.5,4.2,3.4,3.4,6.6,4.7,6.3,4.8,7.5,3.2,5.9,3.6,8.2,5.9,6.8,6.3,7.7,4.4,2.6,4.9,5.7,5.6,6.1,4.8,7.4,4.9,6.1,4.3,7.0,5.1,5.8,6.1,8.4,M,1.0,1,3.0,4.0,4.0,D1,5.3625,5.3625,5.1125,TB,TB,TB,2.145,2.145,2.045,0
61,6.2,7.8,7.8,8.0,5.1,7.4,5.8,5.4,5.0,6.6,7.5,8.2,6.1,7.8,8.4,5.5,6.7,5.7,6.1,7.7,4.7,8.9,6.1,5.3,6.6,4.9,7.6,8.3,5.5,8.3,9.2,5.5,7.2,5.9,8.2,6.0,5.8,5.0,6.4,5.9,7.6,7.0,8.2,5.9,5.7,8.0,6.6,6.5,M,,1,2.5,3.5,6.5,A,6.687499999999999,6.887499999999999,6.4,K,K,TB,2.675,2.755,2.56,1
62,7.2,5.5,6.5,6.9,8.0,7.2,6.8,4.8,8.4,6.0,6.6,6.6,8.2,7.2,7.6,5.1,7.3,6.6,5.2,7.1,7.7,9.2,7.5,4.7,6.5,6.1,6.2,7.1,7.5,8.7,8.6,4.9,7.9,7.5,6.7,5.9,7.2,8.0,6.6,5.5,8.9,8.3,6.8,6.5,7.3,8.7,7.8,5.9,F,,1,3.5,3.5,4.25,A,6.6125,6.9625,6.9125,K,K,K,2.645,2.785,2.765,1
63,6.4,7.2,8.1,8.5,6.2,8.8,7.9,5.6,5.9,7.6,8.0,8.0,7.4,6.7,7.8,7.8,6.5,6.3,6.4,6.9,7.0,6.7,8.1,7.0,7.6,6.5,7.0,7.4,7.1,7.4,7.8,7.7,6.8,7.7,6.8,6.8,6.5,7.7,7.6,7.6,7.5,7.3,7.0,7.0,7.2,8.8,6.6,6.4,M,,1,4.25,2.75,3.25,A,7.3375,7.399999999999999,6.862500000000001,K,K,K,2.935,2.96,2.745,1
64,7.5,7.6,7.8,7.9,5.7,8.1,5.8,6.2,7.6,6.8,8.7,7.9,5.7,8.8,8.4,6.1,6.8,6.9,7.2,9.0,5.7,9.2,7.6,5.4,6.8,7.8,7.7,7.8,5.9,8.9,7.5,5.4,8.0,6.4,6.4,7.1,5.7,8.6,7.2,6.7,6.6,8.1,6.7,6.4,6.0,7.2,7.3,6.6,M,,1,2.25,3.5,5.0,A,7.075,7.5,7.225,K,K,K,2.83,3.0,2.89,1
65,7.1,6.2,8.4,7.3,6.4,6.7,8.5,4.9,6.9,6.5,8.2,7.3,6.5,8.1,7.6,6.1,8.1,7.4,8.3,8.0,6.7,8.4,8.8,5.5,7.2,8.0,7.0,7.6,7.1,8.6,7.6,6.1,6.9,8.0,8.7,6.3,5.7,8.6,7.4,4.7,7.4,6.7,7.4,5.4,6.7,9.1,7.1,5.4,M,6.0,2,4.25,3.75,6.0,A,6.937500000000001,7.150000000000001,7.65,K,K,K,2.7750000000000004,2.8600000000000003,3.06,1
66,3.0,4.0,3.8,6.6,5.4,5.4,4.0,5.3,3.5,3.8,4.3,5.3,4.7,8.4,5.4,4.5,3.8,6.5,4.0,6.0,3.8,8.7,6.8,3.3,5.5,5.3,4.7,6.3,5.8,8.1,6.6,5.6,5.0,4.8,5.3,5.6,5.1,6.6,8.2,3.8,5.1,6.3,4.9,6.0,5.8,8.3,6.8,4.7,M,,1,2.0,3.75,4.75,A,4.687499999999999,4.9875,5.362499999999999,Y,Y,TB,1.875,1.995,2.145,0
67,5.1,3.7,4.7,5.5,5.1,4.5,5.8,2.8,5.3,4.2,5.1,6.5,5.6,7.1,6.4,4.1,4.7,5.2,4.3,5.0,5.4,5.0,5.9,3.6,5.6,4.6,4.2,5.3,5.2,6.1,6.0,4.3,6.2,5.4,5.0,4.9,4.7,4.6,6.3,4.5,5.9,6.9,6.4,4.6,5.8,6.3,6.1,4.6,M,,2NT,4.0,4.5,3.25,A,4.65,5.5375000000000005,4.8875,Y,TB,Y,1.86,2.2150000000000003,1.955,0
68,4.6,4.9,5.3,5.7,4.5,5.0,7.3,2.8,7.2,6.5,4.9,6.3,4.0,6.5,7.5,3.8,7.6,4.9,5.1,5.1,4.6,5.3,6.7,4.1,6.2,5.8,6.7,6.9,5.7,5.8,7.1,4.2,8.0,4.3,7.7,7.4,4.7,4.5,6.6,5.3,7.2,5.0,8.0,6.3,5.5,5.7,5.8,4.6,M,,1,4.5,4.5,5.5,B,5.012499999999999,5.8375,5.425000000000001,TB,TB,TB,2.005,2.335,2.1700000000000004,0
69,7.3,6.4,6.9,7.5,6.2,8.4,7.6,8.1,8.1,7.0,7.1,8.3,6.8,6.9,9.2,8.7,8.2,6.8,7.7,8.6,7.3,8.3,7.8,8.2,7.9,7.7,7.1,9.2,7.6,7.8,8.4,7.8,8.4,8.4,7.3,7.5,7.2,7.7,7.6,8.6,8.1,8.0,8.1,7.1,8.0,8.8,7.9,7.9,M,,1,3.75,6.0,4.5,B,7.300000000000001,7.762499999999999,7.862499999999999,K,K,K,2.9200000000000004,3.1049999999999995,3.145,1
70,6.0,5.9,6.0,5.3,4.8,7.1,5.8,5.2,6.2,5.6,7.7,7.2,5.5,5.9,6.6,7.3,5.1,4.4,5.4,6.9,4.8,4.0,4.5,4.8,5.1,4.2,5.3,5.2,6.0,5.4,6.5,5.3,3.5,3.3,4.8,4.3,4.8,5.9,4.6,4.0,5.6,7.3,5.0,6.2,5.4,6.7,4.4,4.9,M,,1,2.25,3.75,6.25,B,5.7625,6.5,4.9875,TB,K,Y,2.305,2.6,1.995,1
71,5.8,6.3,6.0,6.5,6.7,7.6,6.7,5.9,7.6,7.5,5.6,8.1,6.3,6.3,7.1,7.1,6.6,6.7,4.0,7.3,6.1,5.2,7.8,6.0,5.3,7.8,6.6,7.1,6.8,6.8,6.8,6.3,6.5,7.0,6.9,5.7,7.0,6.6,6.6,5.7,8.2,7.4,6.0,7.6,7.3,7.3,7.8,6.8,F,,2,2.25,4.5,7.25,A,6.4375,6.949999999999999,6.2125,TB,K,TB,2.575,2.78,2.4850000000000003,1
72,3.0,5.1,3.0,6.4,4.3,4.8,2.0,4.5,4.8,4.1,3.5,6.2,6.7,5.4,6.7,4.1,4.7,4.7,6.2,6.1,6.6,6.6,4.6,4.6,5.0,5.1,5.6,6.2,6.4,7.1,7.3,4.6,6.8,4.9,6.1,4.7,5.5,5.9,6.5,4.6,9.0,5.7,6.0,6.1,6.2,8.1,5.8,5.1,F,,1,3.5,4.75,3.5,B,4.1375,5.1875,5.512500000000001,Y,TB,TB,1.655,2.075,2.2050000000000005,0
73,5.5,6.6,7.2,7.6,5.5,6.7,6.7,5.2,6.0,6.8,6.3,7.2,4.9,4.8,6.6,5.3,4.6,5.5,5.5,7.1,5.2,6.1,7.1,5.4,5.2,4.7,5.8,6.3,5.7,5.6,5.2,5.3,5.2,5.5,6.3,6.6,6.1,6.5,5.3,5.2,6.1,6.2,7.3,7.8,5.5,5.9,6.3,5.5,M,,1,1.5,4.5,5.5,A,6.375000000000001,5.9875,5.8125,TB,TB,TB,2.5500000000000003,2.395,2.325,1
74,5.2,3.1,4.7,5.8,6.1,3.1,4.8,4.4,5.5,5.9,5.7,6.3,5.5,4.8,6.1,5.1,4.7,6.3,5.0,6.1,5.9,5.8,6.1,5.8,4.3,5.9,5.5,7.0,6.7,4.7,6.1,6.2,4.7,6.0,5.5,4.7,5.8,2.9,5.4,5.1,5.7,5.4,5.7,4.7,5.7,5.3,5.3,4.8,F,,1,2.0,4.5,3.75,A,4.65,5.612500000000001,5.7125,Y,TB,TB,1.86,2.245,2.285,0
75,4.2,5.6,5.0,8.4,6.3,8.2,6.9,3.9,5.5,6.8,7.7,6.9,6.8,8.0,6.4,5.1,5.1,6.3,6.1,7.8,6.1,6.4,6.9,4.4,6.4,8.1,7.8,8.0,6.2,8.1,8.3,5.5,8.0,6.4,6.1,6.2,6.0,6.3,5.9,5.5,8.5,6.3,5.7,7.2,7.1,6.9,7.3,5.5,F,,1,5.25,3.5,4.5,A,6.0625,6.65,6.137499999999999,TB,K,TB,2.425,2.66,2.455,0
76,5.5,4.0,4.3,5.6,3.3,5.9,2.8,3.4,6.0,4.3,3.2,4.5,3.7,4.9,4.7,3.2,2.9,2.8,3.5,4.1,4.1,3.5,5.1,4.8,4.2,3.6,3.5,6.3,5.2,6.6,5.4,4.6,5.5,5.0,3.9,5.1,4.2,5.4,4.9,3.7,4.0,4.4,4.7,6.1,4.1,7.6,5.4,3.5,M,,1,4.75,3.5,3.25,A,4.3500000000000005,4.3125,3.85,Y,Y,Y,1.7400000000000002,1.725,1.54,0
77,5.4,6.8,7.1,7.2,5.6,6.8,6.7,5.3,6.0,6.2,5.9,7.1,6.3,7.8,7.9,6.0,6.9,5.8,5.4,6.3,4.8,7.3,6.4,4.4,6.9,6.6,6.9,8.8,6.9,7.4,8.4,6.0,6.7,7.4,6.8,6.6,5.3,7.0,6.3,5.1,7.5,8.0,6.7,7.0,5.8,7.1,7.9,4.7,F,,2NT,3.25,4.0,3.5,A,6.362499999999999,6.65,5.9125,TB,K,TB,2.5449999999999995,2.66,2.365,1
78,5.2,3.6,3.8,7.1,5.3,4.8,6.4,4.5,6.8,5.5,5.3,6.4,5.3,6.7,6.8,6.2,6.5,4.7,5.3,6.4,4.7,6.2,6.3,3.6,5.8,2.7,6.6,4.0,5.1,5.9,8.0,3.5,6.4,6.4,5.7,5.8,4.3,5.2,4.6,5.4,7.8,6.2,7.1,6.5,5.3,6.4,5.7,6.6,M,,1,3.25,4.0,4.0,B,5.0875,6.125,5.4625,TB,TB,TB,2.035,2.45,2.185,0
79,5.3,4.3,5.9,7.7,6.8,6.9,7.0,5.6,5.2,5.0,6.4,6.1,5.8,7.6,6.1,3.9,5.0,5.5,4.4,7.6,6.1,6.0,6.0,4.9,3.5,5.2,5.4,6.9,6.2,5.2,5.7,4.5,5.2,5.7,4.7,4.9,5.0,5.2,5.6,7.6,5.2,5.5,5.4,5.6,4.7,4.5,5.6,6.0,M,,1,3.5,4.5,4.25,B,6.1875,5.7625,5.6875,TB,TB,TB,2.475,2.305,2.275,0
80,4.8,3.9,5.5,4.9,5.6,4.1,5.8,5.1,5.1,4.0,4.5,5.6,5.6,5.9,7.2,4.4,5.7,4.9,5.0,4.6,5.0,4.8,7.0,4.1,5.0,5.3,5.1,6.3,5.8,6.8,5.6,4.7,6.7,4.8,5.0,5.5,5.8,4.4,4.6,4.1,6.6,6.6,5.9,6.9,7.2,3.8,5.1,4.9,F,,2NT,2.0,3.5,5.5,A1,4.9625,5.2875,5.1375,Y,TB,TB,1.985,2.115,2.055,0
81,8.2,6.5,5.1,6.1,6.6,8.7,7.1,6.8,9.2,6.9,5.9,7.3,6.2,8.5,6.7,6.9,9.3,6.8,6.2,6.9,6.3,6.6,7.5,5.7,8.1,7.0,6.0,6.1,7.1,7.5,7.6,6.8,8.7,7.0,7.3,5.9,6.7,4.9,5.0,5.0,9.3,7.1,6.6,8.1,7.7,6.6,7.3,5.3,F,,2NT,4.5,3.5,4.75,A,6.8875,7.2,6.9125000000000005,K,K,K,2.755,2.88,2.765,1
82,5.7,5.0,4.7,5.7,4.7,5.5,5.2,4.2,3.9,5.9,4.7,5.3,4.8,6.0,4.6,4.7,5.7,5.9,4.5,5.9,4.8,3.7,6.3,5.2,4.6,4.4,4.7,6.1,5.0,5.3,4.9,5.4,6.8,6.1,4.6,5.8,5.3,5.1,4.8,5.0,7.3,7.5,5.0,6.4,6.2,5.4,5.4,6.5,M,,1,2.5,4.5,4.25,A,5.0875,4.987500000000001,5.25,TB,Y,TB,2.035,1.9950000000000003,2.1,1
83,5.1,5.9,5.9,4.5,6.2,5.3,6.5,4.7,5.0,6.1,6.9,9.5,6.8,7.0,7.1,4.8,7.4,6.7,7.1,8.1,6.5,8.1,7.6,5.4,6.0,8.1,6.1,8.5,6.7,7.0,8.1,5.3,6.8,5.9,7.5,6.3,7.1,6.1,6.8,6.1,7.3,5.4,7.8,7.5,7.4,7.3,7.5,6.3,F,,1,3.25,6.0,4.25,B,5.5125,6.65,7.112500000000001,TB,K,K,2.205,2.66,2.845,1
84,5.9,5.7,7.1,6.7,6.5,8.0,8.1,4.3,7.4,7.1,5.6,7.6,7.2,9.3,7.2,5.1,5.5,6.4,6.9,6.9,6.9,9.8,6.2,6.4,7.0,6.9,6.5,7.8,7.1,9.2,7.9,6.1,5.5,6.3,7.1,7.6,6.2,7.8,7.5,6.5,8.2,7.5,7.2,7.3,6.8,9.6,7.3,5.8,F,,1,1.75,4.75,6.0,B,6.5375000000000005,7.062500000000001,6.875000000000001,K,K,K,2.615,2.825,2.7500000000000004,1
85,8.4,7.4,6.0,7.8,6.3,7.2,8.5,6.0,9.3,7.0,8.5,8.8,6.9,6.9,7.3,6.8,7.4,7.0,8.0,7.5,7.1,6.7,8.4,5.8,7.7,6.7,8.2,7.5,7.5,6.1,8.1,6.5,8.2,5.9,7.9,8.6,6.1,5.1,7.2,6.1,8.6,7.8,8.9,8.5,6.7,5.5,7.9,6.6,M,,1,6.5,4.5,8.0,A,7.2,7.687499999999999,7.2375,K,K,K,2.88,3.075,2.895,1
86,7.2,6.6,6.8,6.7,7.1,6.4,7.2,6.0,7.9,8.1,6.6,7.5,7.8,7.4,7.6,7.1,7.3,6.8,5.7,7.6,6.6,8.4,7.4,5.1,8.4,8.1,6.4,8.8,6.3,8.3,7.7,6.5,7.8,7.1,8.5,6.5,7.3,7.0,7.8,5.2,6.9,6.9,7.1,7.3,7.0,8.1,6.4,6.0,F,,2NT,3.75,5.75,4.75,B,6.75,7.5,6.8625,K,K,K,2.7,3.0,2.745,1
87,6.3,6.5,8.1,7.7,6.7,5.4,7.0,5.4,6.3,6.7,6.9,7.4,6.6,5.6,7.1,5.7,5.2,7.7,6.0,7.8,7.6,5.8,6.2,5.6,6.1,7.0,7.2,7.2,7.3,6.0,7.1,5.5,6.0,7.3,8.0,5.8,6.6,7.3,7.2,4.7,5.7,7.9,6.9,6.0,7.4,6.9,6.6,5.2,M,,2NT,2.0,4.75,6.5,A,6.637499999999999,6.5375000000000005,6.4875,K,K,TB,2.655,2.615,2.595,1
88,7.3,4.3,5.3,5.8,4.9,3.7,5.6,5.3,5.9,6.0,6.3,5.9,5.0,6.6,6.6,4.6,7.1,6.3,7.3,6.7,6.5,5.4,6.7,5.5,7.7,5.4,7.5,7.1,6.8,5.8,6.8,6.5,7.9,5.9,5.9,5.9,5.7,6.1,6.8,6.7,6.6,6.4,6.9,5.7,6.4,6.4,7.2,6.2,M,,1,1.75,4.0,4.5,A,5.275,5.862500000000001,6.4375,TB,TB,TB,2.11,2.345,2.575,1
89,5.2,6.0,4.7,6.2,3.9,6.6,4.9,3.7,6.5,6.3,6.8,6.9,5.8,7.9,7.0,6.3,7.4,5.3,5.6,6.9,5.0,6.2,6.5,5.2,7.4,6.0,6.2,4.5,5.9,7.2,7.0,6.1,5.4,4.3,4.8,4.3,5.2,6.4,6.3,5.6,6.6,8.0,6.8,3.6,5.0,6.2,6.0,6.2,M,,1,3.75,4.0,3.5,A,5.15,6.687499999999999,6.0125,TB,K,TB,2.06,2.675,2.405,1
90,5.7,4.6,5.9,5.7,4.7,4.3,4.4,5.5,5.6,4.7,5.4,5.7,5.1,5.9,5.6,4.5,4.7,4.5,6.0,5.6,5.1,5.7,5.9,4.3,5.1,4.4,6.0,6.1,5.3,7.1,5.0,5.6,5.6,5.2,6.0,5.2,5.7,4.3,4.9,4.3,7.2,6.5,6.3,5.7,4.6,5.4,4.7,4.7,M,,1,2.0,5.5,5.5,A,5.1000000000000005,5.3125,5.225,TB,TB,TB,2.04,2.125,2.09,1
91,8.1,7.7,9.1,8.5,6.1,8.6,8.8,7.3,8.8,8.3,8.4,9.3,7.1,8.9,8.8,7.2,9.2,8.4,8.2,9.0,6.3,8.4,8.8,7.1,8.8,9.1,7.7,9.1,7.0,7.9,7.3,7.5,8.9,7.2,7.4,7.8,6.6,7.6,8.1,7.6,8.5,9.2,7.5,8.6,7.9,8.3,8.7,7.8,M,,2,6.25,4.0,6.5,A,8.025,8.35,8.174999999999999,G,G,G,3.21,3.34,3.27,1
92,7.8,6.5,6.7,5.4,6.2,4.8,5.9,4.4,8.9,6.9,6.2,7.5,6.2,4.4,6.4,4.7,8.5,8.0,5.2,6.7,5.6,6.0,6.9,6.7,7.8,7.4,5.0,6.4,6.4,6.1,6.6,5.9,8.6,7.6,6.5,6.6,5.1,6.4,6.4,5.5,9.4,8.2,7.1,8.2,6.3,7.2,7.4,7.0,M,,2NT,4.75,4.75,4.5,A,5.9625,6.4,6.7,TB,TB,K,2.385,2.56,2.68,1
93,5.0,6.6,6.5,7.2,5.8,6.7,6.4,6.0,6.8,6.1,6.5,8.6,5.9,4.9,6.3,7.5,7.2,6.8,5.8,6.2,5.7,7.2,6.6,6.4,6.1,5.8,5.7,7.9,5.7,5.9,5.3,7.3,8.0,7.1,6.9,6.9,6.7,5.6,5.4,5.6,7.5,6.3,6.7,6.8,7.2,5.9,6.7,5.8,M,,1,3.25,5.25,4.25,A,6.275,6.574999999999999,6.4875,TB,K,TB,2.51,2.63,2.595,1
94,5.2,5.2,6.8,7.9,6.6,8.9,7.6,5.3,6.8,5.8,5.8,8.9,7.0,8.8,8.6,5.7,6.7,6.0,5.5,7.3,6.9,9.1,8.6,5.1,6.6,6.7,7.9,7.7,6.9,8.7,7.6,6.7,7.3,5.4,5.7,6.8,6.3,7.4,7.5,5.4,7.3,6.5,6.7,5.8,7.3,8.7,7.8,5.0,M,,1,3.5,4.25,5.0,A,6.6875,7.175,6.9,K,K,K,2.675,2.87,2.76,1
95,5.8,5.9,7.6,6.1,5.3,8.1,6.1,5.0,6.4,7.2,7.7,7.5,5.3,8.4,6.8,6.1,7.3,7.0,7.9,7.3,5.7,8.6,6.8,5.1,7.1,7.3,8.4,7.3,5.7,8.7,7.0,5.6,7.3,6.8,6.5,8.0,5.9,5.3,7.4,6.5,6.7,8.1,7.1,6.8,6.0,7.3,6.8,5.3,M,,1,4.25,2.5,4.75,A,6.2375,6.925,6.9625,TB,K,K,2.495,2.77,2.785,1
96,8.6,6.9,7.4,8.8,7.6,5.8,7.3,5.7,8.9,6.8,6.5,7.3,7.0,7.3,6.9,7.6,7.7,5.6,5.9,7.7,6.8,8.1,6.6,7.5,6.7,6.8,6.0,8.3,7.5,7.1,6.8,7.8,7.9,6.7,7.2,6.1,7.2,5.3,5.2,5.2,6.6,6.9,7.4,7.0,7.6,6.3,6.1,6.2,F,,1,5.25,1.5,6.25,C,7.262499999999999,7.2875,6.987500000000001,K,K,K,2.905,2.915,2.7950000000000004,1
97,3.7,5.4,6.0,5.1,5.5,3.9,6.1,4.4,4.1,4.8,5.1,4.7,5.9,6.9,4.6,5.4,3.1,3.1,5.3,5.8,5.6,5.4,6.6,4.2,3.4,4.9,5.9,6.9,5.6,6.4,5.7,4.3,5.5,4.7,4.6,3.4,6.9,7.6,7.4,4.9,5.7,7.7,5.0,7.0,6.5,7.9,7.5,4.4,F,,1,5.25,3.75,4.75,C,5.0125,5.1875,4.8875,TB,TB,Y,2.005,2.075,1.955,1
98,8.8,5.5,7.4,7.7,6.2,7.3,8.1,4.5,9.5,7.3,6.0,8.4,7.0,8.4,8.8,6.5,9.5,6.6,6.4,7.6,7.0,9.6,9.3,6.7,8.5,6.9,5.8,8.4,8.0,8.9,9.6,7.1,9.0,7.1,6.7,5.7,6.9,8.6,8.6,5.9,8.5,7.1,6.2,8.6,7.0,9.6,8.4,5.8,M,,2NT,7.0,8.0,4.0,C,6.9375,7.737500000000001,7.8375,K,K,K,2.775,3.095,3.135,1
99,2.7,1.8,3.4,5.3,4.5,7.9,4.9,3.8,2.8,5.7,5.1,5.0,5.5,6.6,3.9,4.3,6.2,6.9,7.6,6.3,4.7,7.4,5.9,5.7,5.2,5.1,6.8,5.6,3.8,5.9,6.7,4.4,4.1,5.3,5.7,4.6,5.0,5.9,5.3,4.5,4.3,5.6,6.3,4.7,5.0,6.6,5.2,5.9,M,,1,5.0,3.5,5.5,C,4.2875,4.8625,6.3375,Y,Y,TB,1.715,1.945,2.535,0
100,4.1,5.2,4.9,5.3,5.5,5.4,7.2,5.4,4.4,6.4,4.8,7.2,6.0,6.3,6.8,4.9,6.0,4.9,4.2,6.4,5.7,6.8,7.1,6.2,4.3,4.9,5.3,6.5,5.7,6.8,7.4,5.8,5.6,6.2,6.0,4.7,5.7,7.9,6.9,4.7,5.1,6.4,5.9,5.4,6.3,5.6,6.6,5.8,M,,2NT,5.25,2.5,4.25,C,5.375,5.85,5.9125000000000005,TB,TB,TB,2.15,2.34,2.365,0
